a11y-profile-manager-indicator	0.1.11-0ubuntu4
libatk1.0-data	2.35.1-1ubuntu2
libatk-adaptor:amd64	2.34.2-0ubuntu2~20.04.1
libatk-bridge2.0-0:amd64	2.34.2-0ubuntu2~20.04.1
libatkmm-1.6-1v5:amd64	2.28.0-2build1
libatm1:amd64	1:2.5.1-4
libatomic1:amd64	10.5.0-1ubuntu1~20.04
libatopology2:amd64	1.2.2-2.1ubuntu2.5
libatspi2.0-0:amd64	2.36.0-2
libattr1:amd64	1:2.4.48-5
libaudit1:amd64	1:2.8.5-2ubuntu6
libaudit-common	1:2.8.5-2ubuntu6
libaugeas0:amd64	1.12.0-1build1
libauthen-sasl-perl	2.1600-1
libavahi-client3:amd64	0.7-4ubuntu7.3
libavahi-common3:amd64	0.7-4ubuntu7.3
libavahi-common-data:amd64	0.7-4ubuntu7.3
libavahi-core7:amd64	0.7-4ubuntu7.3
libavahi-glib1:amd64	0.7-4ubuntu7.3
libavahi-ui-gtk3-0:amd64	0.7-4ubuntu7.3
libavc1394-0:amd64	0.5.4-5
libbabeltrace1:amd64	1.5.8-1build1
libbamf3-2:amd64	0.5.3+18.04.20180207.2-0ubuntu2
libb-hooks-op-check-perl	0.22-1build2
libbinutils:amd64	2.34-6ubuntu1.11
libblkid1:amd64	2.34-0.1ubuntu9.6
libblockdev2:amd64	2.23-2ubuntu3
libblockdev-crypto2:amd64	2.23-2ubuntu3
libblockdev-fs2:amd64	2.23-2ubuntu3
libblockdev-loop2:amd64	2.23-2ubuntu3
libblockdev-part2:amd64	2.23-2ubuntu3
libblockdev-part-err2:amd64	2.23-2ubuntu3
libblockdev-swap2:amd64	2.23-2ubuntu3
libblockdev-utils2:amd64	2.23-2ubuntu3
libbluetooth3:amd64	5.53-0ubuntu3.9
libboost-date-time1.71.0:amd64	1.71.0-6ubuntu6
libboost-filesystem1.71.0:amd64	1.71.0-6ubuntu6
libboost-iostreams1.71.0:amd64	1.71.0-6ubuntu6
libboost-locale1.71.0:amd64	1.71.0-6ubuntu6
libboost-thread1.71.0:amd64	1.71.0-6ubuntu6
libbrlapi0.7:amd64	6.0+dfsg-4ubuntu6
libbrotli1:amd64	1.0.7-6ubuntu0.1
libbsd0:amd64	0.10.0-1
libbz2-1.0:amd64	1.0.8-2
libbz2-dev:amd64	1.0.8-2
libc6:amd64	2.31-0ubuntu9.18
libc6-dbg:amd64	2.31-0ubuntu9.18
libc6-dev:amd64	2.31-0ubuntu9.18
libcaca0:amd64	0.99.beta19-2.1ubuntu1.20.04.2
libcacard0:amd64	1:2.6.1-1
libcairo2:amd64	1.16.0-4ubuntu1
libcairo-gobject2:amd64	1.16.0-4ubuntu1
libcairo-gobject-perl	1.005-2
libcairomm-1.0-1v5:amd64	1.12.2-4build1
libcairo-perl	1.107-1
libcamel-1.2-62:amd64	3.36.5-0ubuntu1
libcanberra0:amd64	0.30-7ubuntu1
libcanberra-gtk3-0:amd64	0.30-7ubuntu1
libcanberra-gtk3-module:amd64	0.30-7ubuntu1
libcanberra-pulse:amd64	0.30-7ubuntu1
libcap2:amd64	1:2.32-1ubuntu0.2
libcap2-bin	1:2.32-1ubuntu0.2
libcap-ng0:amd64	0.7.9-2.1build1
libcapture-tiny-perl	0.48-1
libc-bin	2.31-0ubuntu9.18
libcbor0.6:amd64	0.6.0-0ubuntu1
libcc1-0:amd64	10.5.0-1ubuntu1~20.04
libc-dev-bin	2.31-0ubuntu9.18
libcdio17:amd64	1.0.0-2ubuntu2
libcdio18:amd64	2.0.0-2ubuntu0.2
libcdio-cdda2:amd64	10.2+2.0.0-1
libcdio-paranoia2:amd64	10.2+2.0.0-1
libcdparanoia0:amd64	3.10.2+debian-13
libcdr-0.1-1:amd64	0.1.6-1build2
libcgmanager0:amd64	0.39-2ubuntu5
libcgroup1:amd64	0.41-10
libcheese8:amd64	3.34.0-1ubuntu1
libcheese-gtk25:amd64	3.34.0-1ubuntu1
libcilkrts5:amd64	7.5.0-6ubuntu2
libclass-method-modifiers-perl	2.13-1
libclucene-contribs1v5:amd64	2.3.3.4+dfsg-1build1
libclucene-core1v5:amd64	2.3.3.4+dfsg-1build1
libclutter-1.0-0:amd64	1.26.4+dfsg-1
libclutter-1.0-common	1.26.4+dfsg-1
libclutter-gst-3.0-0:amd64	3.0.27-1
libclutter-gtk-1.0-0:amd64	1.8.4-4
libcmis-0.5-5v5	0.5.2-1ubuntu1
libcogl20:amd64	1.22.6-1
libcogl-common	1.22.6-1
libcogl-pango20:amd64	1.22.6-1
libcogl-path20:amd64	1.22.6-1
libcolamd2:amd64	1:5.7.1+dfsg-2
libcolord2:amd64	1.4.4-2
libcolord-gtk1:amd64	0.2.0-0ubuntu1
libcolorhug2:amd64	1.4.4-2
libcolumbus1-common	1.1.0+15.10.20150806-0ubuntu21
libcolumbus1v5:amd64	1.1.0+15.10.20150806-0ubuntu21
libcom-err2:amd64	1.45.5-2ubuntu1.2
libcomerr2:amd64	1.45.5-2ubuntu1.2
libcommon-sense-perl	3.74-2build6
libcompizconfig0:amd64	1:0.9.14.1+20.04.20220820-0ubuntu1
libconfig9:amd64	1.5-0.4build1
libcrack2:amd64	2.9.6-3.2
libcrypt1:amd64	1:4.4.10-10ubuntu4
libcrypt-dev:amd64	1:4.4.10-10ubuntu4
libcryptsetup12:amd64	2:2.2.2-3ubuntu2.5
libctf0:amd64	2.34-6ubuntu1.11
libctf-nobfd0:amd64	2.34-6ubuntu1.11
libcue2:amd64	2.2.1-2ubuntu0.1
libcups2:amd64	2.3.1-9ubuntu1.9
libcupsfilters1:amd64	1.27.4-1ubuntu0.4
libcupsimage2:amd64	2.3.1-9ubuntu1.9
libcurl3-gnutls:amd64	7.68.0-1ubuntu2.25
libcurl4:amd64	7.68.0-1ubuntu2.25
libdaemon0:amd64	0.14-7
libdata-dump-perl	1.23-1
libdate-manip-perl	6.79-1
libdatrie1:amd64	0.2.12-3
libdazzle-1.0-0:amd64	3.36.0-1
libdb5.3:amd64	5.3.28+dfsg1-0.6ubuntu2
libdb5.3-dev	5.3.28+dfsg1-0.6ubuntu2
libdbd-sqlite3-perl:amd64	1.64-1build1
libdbi-perl:amd64	1.643-1ubuntu0.1
libdbus-1-3:amd64	1.12.16-2ubuntu2.3
libdbus-glib-1-2:amd64	0.110-5fakssync1
libdbusmenu-glib4:amd64	16.04.1+18.10.20180917-0ubuntu6
libdbusmenu-gtk3-4:amd64	16.04.1+18.10.20180917-0ubuntu6
libdbusmenu-qt5-2:amd64	0.9.3+16.04.20160218-2build1
libdconf1:amd64	0.36.0-1
libdebconfclient0:amd64	0.251ubuntu1
libdecoration0:amd64	1:0.9.14.1+20.04.20220820-0ubuntu1
libdee-1.0-4:amd64	1.2.7+17.10.20170616-4ubuntu6
libdevmapper1.02.1:amd64	2:1.02.167-1ubuntu1
libdevmapper-event1.02.1:amd64	2:1.02.167-1ubuntu1
libdigest-bubblebabble-perl	0.02-2
libdigest-hmac-perl	1.03+dfsg-2
libdjvulibre21:amd64	3.5.27.1-14ubuntu0.1
libdjvulibre-text	3.5.27.1-14ubuntu0.1
libdmapsharing-3.0-2:amd64	2.9.39-6
libdns-export1109	1:9.11.16+dfsg-3~ubuntu1
libdns-export162	1:9.10.3.dfsg.P4-8ubuntu1.19
libdotconf0:amd64	1.3-0.3fakesync1
libdouble-conversion1:amd64	2.0.1-4ubuntu1
libdouble-conversion1v5:amd64	2.0.1-3ubuntu2
libdouble-conversion3:amd64	3.1.5-4ubuntu1
libdpkg-perl	1.19.7ubuntu3.2
libdrm2:amd64	2.4.107-8ubuntu1~20.04.2
libdrm-amdgpu1:amd64	2.4.107-8ubuntu1~20.04.2
libdrm-common	2.4.107-8ubuntu1~20.04.2
libdrm-intel1:amd64	2.4.107-8ubuntu1~20.04.2
libdrm-nouveau2:amd64	2.4.107-8ubuntu1~20.04.2
libdrm-radeon1:amd64	2.4.107-8ubuntu1~20.04.2
libdv4:amd64	1.0.0-12
libdw1:amd64	0.176-1.1ubuntu0.1
libebackend-1.2-10:amd64	3.36.5-0ubuntu1
libe-book-0.1-1:amd64	0.1.3-1build3
libebook-1.2-20:amd64	3.36.5-0ubuntu1
libebook-contacts-1.2-3:amd64	3.36.5-0ubuntu1
libecal-2.0-1:amd64	3.36.5-0ubuntu1
libedata-book-1.2-26:amd64	3.36.5-0ubuntu1
libedata-cal-2.0-1:amd64	3.36.5-0ubuntu1
libedataserver-1.2-24:amd64	3.36.5-0ubuntu1
libedataserverui-1.2-2:amd64	3.36.5-0ubuntu1
libedit2:amd64	3.1-20191231-1
libefiboot1:amd64	37-2ubuntu2.2
libefivar0:amd64	0.23-2
libefivar1:amd64	37-2ubuntu2.2
libegl1:amd64	1.3.2-1~ubuntu0.20.04.2
libegl1-mesa:amd64	21.2.6-0ubuntu0.1~20.04.2
libegl-mesa0:amd64	21.2.6-0ubuntu0.1~20.04.2
libelf1:amd64	0.176-1.1ubuntu0.1
libenchant-2-2:amd64	2.2.8-1ubuntu0.20.04.1
libencode-locale-perl	1.05-1
libeot0:amd64	0.01-5
libepoxy0:amd64	1.5.4-1
libepubgen-0.1-1:amd64	0.1.1-1ubuntu2
liberror-perl	0.17029-1
libespeak-ng1:amd64	1.50+dfsg-6ubuntu0.1
libestr0:amd64	0.1.10-2.1
libetonyek-0.1-1:amd64	0.1.9-3
libevdev2:amd64	1.9.0+dfsg-1ubuntu0.2
libevdocument3-4:amd64	3.36.10-0ubuntu1
libevent-2.1-7:amd64	2.1.11-stable-1
libevent-core-2.1-7:amd64	2.1.11-stable-1
libevent-pthreads-2.1-7:amd64	2.1.11-stable-1
libevview3-3:amd64	3.36.10-0ubuntu1
libewf2	20140807-2build1
libexempi3:amd64	2.4.5-2ubuntu0.1
libexempi8:amd64	2.5.1-1ubuntu0.1
libexif12:amd64	0.6.21-6ubuntu0.4
libexiv2-27:amd64	0.27.2-8ubuntu2.7
libexpat1:amd64	2.2.9-1ubuntu0.8
libexpat1-dev:amd64	2.2.9-1ubuntu0.8
libext2fs2:amd64	1.45.5-2ubuntu1.2
libexttextcat-2.0-0:amd64	3.4.5-1
libexttextcat-data	3.4.5-1
libextutils-depends-perl	0.8000-1
libextutils-pkgconfig-perl	1.16-1
libf2fs5:amd64	1.11.0-1.1ubuntu1
libf2fs-format4:amd64	1.11.0-1.1ubuntu1
libfakeroot:amd64	1.24-1
libfastjson4:amd64	0.99.8-2
libfcitx-config4:amd64	1:4.2.9.7-3
libfcitx-gclient1:amd64	1:4.2.9.7-3
libfcitx-utils0:amd64	1:4.2.9.7-3
libfdisk1:amd64	2.34-0.1ubuntu9.6
libfdt1:amd64	1.5.1-1
libffi7:amd64	3.3-4
libffi-dev:amd64	3.3-4
libfftw3-single3:amd64	3.3.8-2ubuntu1
libfido2-1:amd64	1.3.1-1ubuntu2
libfile-basedir-perl	0.08-1
libfile-desktopentry-perl	0.22-1
libfile-fcntllock-perl	0.22-3build4
libfile-listing-perl	6.04-1
libfile-mimeinfo-perl	0.29-1
libflac8:amd64	1.3.3-1ubuntu0.2
libfont-afm-perl	1.20-2
libfontconfig1:amd64	2.13.1-2ubuntu3
libfontconfig1-dev:amd64	2.13.1-2ubuntu3
libfontembed1:amd64	1.27.4-1ubuntu0.4
libfontenc1:amd64	1:1.1.4-0ubuntu1
libfprint-2-2:amd64	1:1.90.2+tod1-0ubuntu1~20.04.10
libframe6:amd64	2.5.0daily13.06.05+16.10.20160809-0ubuntu2
libfreehand-0.1-1	0.1.2-2ubuntu1
libfreerdp2-2:amd64	2.6.1+dfsg1-0ubuntu0.20.04.2
libfreerdp-client2-2:amd64	2.6.1+dfsg1-0ubuntu0.20.04.2
libfreetype6:amd64	2.10.1-2ubuntu0.4
libfreetype6-dev:amd64	2.10.1-2ubuntu0.4
libfreetype-dev:amd64	2.10.1-2ubuntu0.4
libfribidi0:amd64	1.0.8-2ubuntu0.1
libfuse2:amd64	2.9.9-3
libfwup0:amd64	0.5-2ubuntu7
libfwupd2:amd64	1.7.9-1~20.04.3
libfwupdplugin5:amd64	1.7.9-1~20.04.3
libgail18:amd64	2.24.32-4ubuntu4.1
libgail-3-0:amd64	3.24.20-0ubuntu1.2
libgail-common:amd64	2.24.32-4ubuntu4.1
libgamemode0	1.5.1-0ubuntu3.1
libgamemodeauto0	1.5.1-0ubuntu3.1
libgbm1:amd64	21.2.6-0ubuntu0.1~20.04.2
libgc1c2:amd64	1:7.6.4-0.4ubuntu1
libgcab-1.0-0:amd64	1.4-1
libgcc1	1:10.5.0-1ubuntu1~20.04
libgcc-7-dev:amd64	7.5.0-6ubuntu2
libgcc-9-dev:amd64	9.4.0-1ubuntu1~20.04.2
libgcc-s1:amd64	10.5.0-1ubuntu1~20.04
libgck-1-0:amd64	3.36.0-2build1
libgcr-base-3-1:amd64	3.36.0-2build1
libgcr-ui-3-1:amd64	3.36.0-2build1
libgcrypt11:amd64	1.5.3-2ubuntu4
libgcrypt20:amd64	1.8.5-5ubuntu1.1
libgd3:amd64	2.2.5-5.2ubuntu2.4
libgdata22:amd64	0.17.12-1
libgdata-common	0.17.12-1
libgdbm3:amd64	1.8.3-13.1
libgdbm6:amd64	1.18.1-5
libgdbm-compat4:amd64	1.18.1-5
libgdbm-dev:amd64	1.18.1-5
libgdk-pixbuf2.0-0:amd64	2.40.0+dfsg-3ubuntu0.5
libgdk-pixbuf2.0-bin	2.40.0+dfsg-3ubuntu0.5
libgdk-pixbuf2.0-common	2.40.0+dfsg-3ubuntu0.5
libgdm1	3.36.3-0ubuntu0.20.04.4
libgee-0.8-2:amd64	0.20.3-1
libgeis1:amd64	2.2.17+16.04.20160126-0ubuntu6
libgeoclue-2-0:amd64	2.5.6-0ubuntu1
libgeocode-glib0:amd64	3.26.2-2
libgeonames0:amd64	0.2+17.04.20170220-0ubuntu3
libgeonames-common	0.2+17.04.20170220-0ubuntu3
libgexiv2-2:amd64	0.12.0-2
libgif7:amd64	5.1.9-1ubuntu0.1
libgirepository-1.0-1:amd64	1.64.1-1~ubuntu20.04.1
libgjs0g:amd64	1.64.5-0ubuntu0.20.04.01
libgl1:amd64	1.3.2-1~ubuntu0.20.04.2
libgl1-mesa-dri:amd64	21.2.6-0ubuntu0.1~20.04.2
libgl1-mesa-glx:amd64	21.2.6-0ubuntu0.1~20.04.2
libglapi-mesa:amd64	21.2.6-0ubuntu0.1~20.04.2
libgles2:amd64	1.3.2-1~ubuntu0.20.04.2
libglewmx1.13:amd64	1.13.0-4ubuntu3
libglib2.0-0:amd64	2.64.6-1~ubuntu20.04.9
libglib2.0-bin	2.64.6-1~ubuntu20.04.9
libglib2.0-data	2.64.6-1~ubuntu20.04.9
libglibmm-2.4-1v5:amd64	2.64.2-1
libglib-object-introspection-perl	0.048-2build1
libglib-perl:amd64	3:1.329.2-1
libglu1-mesa:amd64	9.0.1-1build1
libglvnd0:amd64	1.3.2-1~ubuntu0.20.04.2
libglx0:amd64	1.3.2-1~ubuntu0.20.04.2
libglx-mesa0:amd64	21.2.6-0ubuntu0.1~20.04.2
libgmp10:amd64	2:6.2.0+dfsg-4ubuntu0.1
libgnome-autoar-0-0:amd64	0.2.3-2ubuntu0.4
libgnome-bluetooth13:amd64	3.34.3-0ubuntu1
libgnome-desktop-3-19:amd64	3.36.8-0ubuntu1
libgnome-games-support-1-3:amd64	1.6.1-1
libgnome-games-support-common	1.6.1-1
libgnomekbd8:amd64	3.26.1-1
libgnomekbd-common	3.26.1-1
libgnome-keyring0:amd64	3.12.0-1build1
libgnome-menu-3-0:amd64	3.36.0-1ubuntu1
libgnome-todo	3.28.1-5
libgnutls30:amd64	3.6.13-2ubuntu1.12
libgnutls-openssl27:amd64	3.6.13-2ubuntu1.12
libgoa-1.0-0b:amd64	3.36.1-0ubuntu1
libgoa-1.0-common	3.36.1-0ubuntu1
libgoa-backend-1.0-1:amd64	3.36.1-0ubuntu1
libgom-1.0-0:amd64	0.4-1
libgomp1:amd64	10.5.0-1ubuntu1~20.04
libgovirt2:amd64	0.3.4-3.1
libgovirt-common	0.3.4-3.1
libgpg-error0:amd64	1.37-1
libgpg-error-l10n	1.37-1
libgpgme11:amd64	1.13.1-7ubuntu2.2
libgpgmepp6:amd64	1.13.1-7ubuntu2.2
libgphoto2-6:amd64	2.5.25-0ubuntu0.1
libgphoto2-l10n	2.5.25-0ubuntu0.1
libgphoto2-port12:amd64	2.5.25-0ubuntu0.1
libgpm2:amd64	1.20.7-5
libgpod4:amd64	0.8.3-15
libgpod-common	0.8.3-15
libgrail6:amd64	3.1.1-2build1
libgraphene-1.0-0:amd64	1.10.0-1build2
libgraphite2-3:amd64	1.3.13-11build1
libgrilo-0.3-0:amd64	0.3.12-1ubuntu0.1
libgs9:amd64	9.50~dfsg-5ubuntu4.15
libgs9-common	9.50~dfsg-5ubuntu4.15
libgsettings-qt1:amd64	0.2-1
libgsf-1-114:amd64	1.14.46-1ubuntu0.1
libgsf-1-common	1.14.46-1ubuntu0.1
libgsound0:amd64	1.0.2-4
libgspell-1-2:amd64	1.8.3-1
libgspell-1-common	1.8.3-1
libgssapi3-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4
libgssapi-krb5-2:amd64	1.17-6ubuntu4.11
libgssdp-1.2-0:amd64	1.2.3-0ubuntu0.20.04.1
libgstreamer1.0-0:amd64	1.16.3-0ubuntu1.2
libgstreamer-gl1.0-0:amd64	1.16.3-0ubuntu1.4
libgstreamer-plugins-base1.0-0:amd64	1.16.3-0ubuntu1.4
libgstreamer-plugins-good1.0-0:amd64	1.16.3-0ubuntu1.3
libgtk2.0-0:amd64	2.24.32-4ubuntu4.1
libgtk2.0-bin	2.24.32-4ubuntu4.1
libgtk2.0-common	2.24.32-4ubuntu4.1
libgtk-3-0:amd64	3.24.20-0ubuntu1.2
libgtk-3-bin	3.24.20-0ubuntu1.2
libgtk-3-common	3.24.20-0ubuntu1.2
libgtk3-nocsd0:amd64	3-1ubuntu1
libgtk3-perl	0.037-1
libgtkmm-3.0-1v5:amd64	3.24.2-1build1
libgtksourceview-4-0:amd64	4.6.0-1
libgtksourceview-4-common	4.6.0-1
libgtk-vnc-2.0-0:amd64	1.0.0-1build1
libgtop-2.0-11:amd64	2.40.0-2
libgtop2-common	2.40.0-2
libgucharmap-2-90-7:amd64	1:13.0.1-1
libgudev-1.0-0:amd64	1:233-1
libguestfs0:amd64	1:1.40.2-7ubuntu5
libguestfs-hfsplus:amd64	1:1.40.2-7ubuntu5
libguestfs-perl	1:1.40.2-7ubuntu5
libguestfs-reiserfs:amd64	1:1.40.2-7ubuntu5
libguestfs-tools	1:1.40.2-7ubuntu5
libguestfs-xfs:amd64	1:1.40.2-7ubuntu5
libgupnp-1.2-0:amd64	1.2.4-0ubuntu1
libgupnp-av-1.0-2	0.12.11-2
libgupnp-dlna-2.0-3	0.10.5-4
libgusb2:amd64	0.3.4-0.1
libgutenprint2	5.2.13-2
libgvnc-1.0-0:amd64	1.0.0-1build1
libgweather-3-16:amd64	3.36.1-1~ubuntu20.04.1
libgweather-common	3.36.1-1~ubuntu20.04.1
libgxps2:amd64	0.3.1-1
libhandy-0.0-0:amd64	0.0.13-1
libharfbuzz0b:amd64	2.6.4-1ubuntu4.3
libharfbuzz-icu0:amd64	2.6.4-1ubuntu4.3
libhcrypto4-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4
libheimbase1-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4
libheimntlm0-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4
libhfsp0	1.0.4-15
libhivex0:amd64	1.3.18-2ubuntu0.1
libhogweed5:amd64	3.5.1+really3.5.1-2ubuntu0.2
libhpmud0:amd64	3.20.3+dfsg0-2ubuntu0.1
libhtml-format-perl	2.12-1
libhtml-form-perl	6.07-1
libhtml-parser-perl	3.72-5
libhtml-tagset-perl	3.20-4
libhtml-tree-perl	5.07-2
libhttp-cookies-perl	6.08-1
libhttp-daemon-perl	6.06-1ubuntu0.1
libhttp-date-perl	6.05-1
libhttp-message-perl	6.22-1
libhttp-negotiate-perl	6.01-1
libhunspell-1.7-0:amd64	1.7.0-2build2
libhx509-5-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4
libhybris	0.1.0+git20151016+6d424c9-0ubuntu7
libhyphen0:amd64	2.8.8-7
libibus-1.0-5:amd64	1.5.22-2ubuntu2.1
libibverbs1:amd64	28.0-1ubuntu1
libical3:amd64	3.0.8-1
libice6:amd64	2:1.0.10-0ubuntu1
libice-dev:amd64	2:1.0.10-0ubuntu1
libicu66:amd64	66.1-2ubuntu2.1
libidn11:amd64	1.33-2.2ubuntu2
libidn2-0:amd64	2.2.0-2
libido3-0.1-0:amd64	13.10.0+17.04.20161028-0ubuntu2
libiec61883-0:amd64	1.2.0-3
libieee1284-3:amd64	0.2.11-13build1
libigdgmm11:amd64	20.1.1+ds1-1
libijs-0.35:amd64	0.35-15
libimagequant0:amd64	2.12.2-1.1
libimobiledevice6:amd64	1.2.1~git20191129.9f79242-1build1
libindicator3-7	16.10.0+18.04.20180321.1-0ubuntu4
libinput10:amd64	1.15.5-1ubuntu0.3
libinput-bin	1.15.5-1ubuntu0.3
libintl-perl	1.26-2build4
libintl-xs-perl	1.26-2build4
libio-html-perl	1.001-1
libio-socket-inet6-perl	2.72-2
libio-socket-ssl-perl	2.067-1
libio-stringy-perl	2.111-3
libip4tc2:amd64	1.8.4-3ubuntu2.1
libip6tc0:amd64	1.6.1-2ubuntu2.1
libip6tc2:amd64	1.8.4-3ubuntu2.1
libipc-system-simple-perl	1.26-1
libipsec-mb0	0.53-1
libisc169:amd64	1:9.11.3+dfsg-1ubuntu1.18
libisc-export1105:amd64	1:9.11.16+dfsg-3~ubuntu1
libisc-export160	1:9.10.3.dfsg.P4-8ubuntu1.19
libiscsi7:amd64	1.18.0-2
libisl22:amd64	0.22.1-1
libitm1:amd64	10.5.0-1ubuntu1~20.04
libiw30:amd64	30~pre9-13ubuntu1
libjack-jackd2-0:amd64	1.9.12~dfsg-2ubuntu2
libjansson4:amd64	2.12-1build1
libjavascriptcoregtk-4.0-18:amd64	2.38.6-0ubuntu0.20.04.1
libjbig0:amd64	2.1-3.1ubuntu0.20.04.1
libjbig2dec0:amd64	0.18-1ubuntu1
libjcat1:amd64	0.1.4-0ubuntu0.20.04.1
libjpeg8:amd64	8c-2ubuntu8
libjpeg-turbo8:amd64	2.0.3-0ubuntu1.20.04.3
libjs-jquery	3.3.1~dfsg-3ubuntu0.1
libjson-c2:amd64	0.11-4ubuntu2.6
libjson-c3:amd64	0.12.1-1.3ubuntu0.3
libjson-c4:amd64	0.13.1+dfsg-7ubuntu0.3
libjson-glib-1.0-0:amd64	1.4.4-2ubuntu2
libjson-glib-1.0-common	1.4.4-2ubuntu2
libjson-xs-perl	4.020-1build1
libjudydebian1	1.0.5-5
libjuh-java	1:6.4.7-0ubuntu0.20.04.15
libjurt-java	1:6.4.7-0ubuntu0.20.04.15
libk5crypto3:amd64	1.17-6ubuntu4.11
libkeyutils1:amd64	1.6-6ubuntu1.1
libklibc:amd64	2.0.7-1ubuntu5.2
libkmod2:amd64	27-1ubuntu2.1
libkpathsea6:amd64	2019.20190605.51237-3ubuntu0.2
libkrb5-26-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4
libkrb5-3:amd64	1.17-6ubuntu4.11
libkrb5support0:amd64	1.17-6ubuntu4.11
libksba8:amd64	1.3.5-2ubuntu0.20.04.2
liblangtag1:amd64	0.6.3-1
liblangtag-common	0.6.3-1
liblcms2-2:amd64	2.9-4
liblcms2-utils	2.9-4
libldap-2.4-2:amd64	2.4.49+dfsg-2ubuntu1.10
libldap-common	2.4.49+dfsg-2ubuntu1.10
libldb2:amd64	2:2.4.4-0ubuntu0.20.04.2
libldm-1.0-0:amd64	0.2.4-3
liblightdm-gobject-1-0:amd64	1.30.0-0ubuntu4~20.04.2
liblirc-client0:amd64	0.10.1-6.1ubuntu1.1
libllvm12:amd64	1:12.0.0-3ubuntu1~20.04.5
liblmdb0:amd64	0.9.24-1
liblocale-gettext-perl	1.07-4
liblouis20:amd64	3.12.0-3ubuntu0.2
liblouis-data	3.12.0-3ubuntu0.2
liblouisutdml9:amd64	2.8.0-3
liblouisutdml-bin	2.8.0-3
liblouisutdml-data	2.8.0-3
liblsan0:amd64	10.5.0-1ubuntu1~20.04
libltdl7:amd64	2.4.6-14
libltdl-dev:amd64	2.4.6-14
liblua5.3-0:amd64	5.3.3-1.1ubuntu2
liblvm2cmd2.03:amd64	2.03.07-1ubuntu1
liblwp-mediatypes-perl	6.04-1
liblwp-protocol-https-perl	6.07-2ubuntu2
liblwres160:amd64	1:9.11.3+dfsg-1ubuntu1.18
liblz4-1:amd64	1.9.2-2ubuntu0.20.04.1
liblzma5:amd64	5.2.4-1ubuntu1.1
liblzma-dev:amd64	5.2.4-1ubuntu1.1
liblzo2-2:amd64	2.10-2
libmagic1:amd64	1:5.38-4
libmagic-mgc	1:5.38-4
libmailtools-perl	2.21-1
libmaxminddb0:amd64	1.4.2-0ubuntu1.20.04.1
libmbim-glib4:amd64	1.26.2-1~ubuntu20.04.1
libmbim-proxy	1.26.2-1~ubuntu20.04.1
libmediaart-2.0-0:amd64	1.9.4-2
libmessaging-menu0:amd64	13.10.1+18.10.20180918-0ubuntu2
libmetacity1:amd64	1:3.36.1-1ubuntu1
libmhash2:amd64	0.9.9.9-8
libminiupnpc17:amd64	2.1.20190824-0ubuntu2
libmm-glib0:amd64	1.18.6-1~ubuntu20.04.1
libmng2:amd64	2.0.3+dfsg-3
libmnl0:amd64	1.0.4-2
libmount1:amd64	2.34-0.1ubuntu9.6
libmozjs-68-0:amd64	68.6.0-1ubuntu1
libmp3lame0:amd64	3.100-3
libmpc3:amd64	1.1.0-1
libmpdec2:amd64	2.4.2-3
libmpfr6:amd64	4.0.2-1
libmpg123-0:amd64	1.25.13-1ubuntu0.2
libmpx2:amd64	8.4.0-3ubuntu2
libmspub-0.1-1:amd64	0.1.4-1build3
libmtdev1:amd64	1.1.5-1.1
libmtp9:amd64	1.1.17-3
libmtp-common	1.1.17-3
libmtp-runtime	1.1.17-3
libmutter-6-0:amd64	3.36.9-0ubuntu0.20.04.2
libmwaw-0.3-3:amd64	0.3.15-2build1
libmysqlclient21:amd64	8.0.42-0ubuntu0.20.04.1
libmythes-1.2-0:amd64	2:1.2.4-3build1
libnatpmp1:amd64	20150609-7build1
libnautilus-extension1a:amd64	1:3.36.3-0ubuntu1.20.04.2
libncurses5:amd64	6.2-0ubuntu2.1
libncurses5-dev:amd64	6.2-0ubuntu2.1
libncurses6:amd64	6.2-0ubuntu2.1
libncurses-dev:amd64	6.2-0ubuntu2.1
libncursesw5:amd64	6.2-0ubuntu2.1
libncursesw5-dev:amd64	6.2-0ubuntu2.1
libncursesw6:amd64	6.2-0ubuntu2.1
libndp0:amd64	1.7-0ubuntu1.1
libnemo-extension1:amd64	4.4.2-2ubuntu2
libneon27-gnutls:amd64	0.30.2-4
libnet-dbus-perl	1.2.0-1
libnetfilter-conntrack3:amd64	1.0.7-2
libnet-http-perl	6.19-1
libnet-libidn-perl	0.12.ds-3build2
libnetpbm10	2:10.0-15.3build1
libnetplan0:amd64	0.104-0ubuntu2~20.04.6
libnet-smtp-ssl-perl	1.04-1
libnet-ssleay-perl	1.88-2ubuntu1
libnettle6:amd64	3.4.1-0ubuntu0.18.04.1
libnettle7:amd64	3.5.1+really3.5.1-2ubuntu0.2
libnewt0.52:amd64	0.52.21-4ubuntu2
libnfnetlink0:amd64	1.0.1-3build1
libnfs13:amd64	4.0.0-1
libnfsidmap2:amd64	0.25-5.1ubuntu1
libnftnl11:amd64	1.1.5-1
libnghttp2-14:amd64	1.40.0-1ubuntu0.3
libnih1:amd64	1.0.3-6ubuntu2
